,Unnamed: 0,blue_1_summoner_level,blue_2_summoner_level,blue_3_summoner_level,blue_4_summoner_level,blue_5_summoner_level,blue_kurtosis_summonerlevel,blue_coefficient_of_skewness_summonerlevel,blue_mean_summonerlevel,blue_variance_summonerlevel,blue_std_summonerlevel,blue_median_summonerlevel,blue_1_champ_points,blue_2_champ_points,blue_3_champ_points,blue_4_champ_points,blue_5_champ_points,blue_kurtosis_champpoints,blue_coefficient_of_skewness_champpoints,blue_mean_champpoints,blue_variance_champpoints,blue_std_champpoints,blue_median_champpoints,kills_1,kills_2,kills_3,kills_4,kills_5,damage1,damage2,damage3,damage4,damage5,assist1,assist2,assist3,assist4,assist5,red_1_summoner_level,red_2_summoner_level,red_3_summoner_level,red_4_summoner_level,red_5_summoner_level,red_kurtosis_summonerlevel,red_coefficient_of_skewness_summonerlevel,red_mean_summonerlevel,red_variance_summonerlevel,red_std_summonerlevel,red_median_summonerlevel,red_1_champ_points,red_2_champ_points,red_3_champ_points,red_4_champ_points,red_5_champ_points,red_kurtosis_champpoints,red_coefficient_of_skewness_champpoints,red_mean_champpoints,red_variance_champpoints,red_std_champpoints,red_median_champpoints,kills_1.1,kills_2.1,kills_3.1,kills_4.1,kills_5.1,damage1.1,damage2.1,damage3.1,damage4.1,damage5.1,assist1.1,assist2.1,assist3.1,assist4.1,assist5.1,blue_team_won?
13,13,146,59,150,110,60,-2.995805603063652,-0.1350156353994202,105.0,1968.0,44.36214602563767,110,6243,97272,47672,24607,28256,1.936432990895002,1.3104167039346741,40810.0,1212515525.5,34821.1936254345,34821.1936254345,5,2,3,2,0,6744,5488,4598,5117,2955,2,6,4,2,4,111,59,61,79,144,-0.8119939230310642,0.8569721947192204,90.8,1319.2,36.32079294288603,79,78655,0,17920,102,37238,0.9232020080106356,1.200337799102448,26783.0,1076942257.0,32816.79839655295,32816.79839655295,0,0,1,2,3,0,2646,4752,7802,4942,0,2,0,3,3,1
14,14,150,168,87,45,91,-1.662966958248315,0.06547981276780379,108.2,2515.7,50.15675428095403,91,106,106,37019,6736,1070,4.364014991701458,2.078904947865212,9007.4,252820288.8,15900.32354387797,15900.32354387797,3,2,4,10,8,7856,7315,25530,14587,16105,7,13,15,9,17,101,144,228,190,95,-1.846739846520448,0.42357396376034806,151.6,3283.3,57.30008725996846,144,2576,4393,13914,24840,1629,0.2378513418910799,1.1986049494002051,9470.4,97692620.3,9883.957724515014,9883.957724515014,12,5,7,9,4,31955,6615,11352,18631,17360,18,17,16,17,20,0
15,15,59,39,153,150,168,-2.872889803130592,-0.6110119954541853,113.8,3595.700000000001,59.96415596004,150,12442,5436,511,43121,37011,-2.739795122460402,0.45221581277347717,19704.2,368142963.7,19187.05198043722,19187.05198043722,1,4,2,6,2,11450,9597,8788,12158,6838,3,2,2,4,9,80,38,109,45,42,-0.6263782778581941,1.052442491263123,62.8,948.7,30.80097401057311,45,7007,10199,7303,1986,5505,1.145132029754231,-0.47926552662911087,6400.0,8975170.0,2995.858808422052,2995.858808422052,6,5,9,4,1,11099,9964,18961,9250,8661,1,6,6,6,14,0
16,16,193,341,131,149,168,3.5566511358839783,1.835177998998002,196.4,7062.800000000001,84.04046644325578,168,19190,0,2822,24670,91127,3.465268067919881,1.803641906150132,27561.8,1372673679.2,37049.61105328907,37049.61105328907,5,3,5,21,1,9655,20373,13518,30554,5608,7,19,10,7,18,64,53,91,35,46,1.068578634494846,0.9948511353882474,57.8,455.7,21.34713095476767,53,9035,16582,17393,48391,6493,3.523498611489131,1.80494888608139,19578.8,281577820.2,16780.28069491092,16780.28069491092,9,5,3,1,2,15222,17004,18409,7268,4860,6,6,5,5,9,1
17,17,89,86,144,52,108,0.8691219439989766,0.31143510073492403,95.8,1133.2,33.66303610787357,89,20495,378,4175,89569,258,3.9931712217633333,1.9920021483637331,22975.0,1455259433.5,38147.86276451146,38147.86276451146,10,5,1,9,0,48993,22727,22553,37603,13850,4,8,11,9,17,110,113,131,149,168,-1.446138881501027,0.5116181651658538,134.2,601.7,24.52957398733211,131,27790,28032,16132,47672,1401,0.5456415052038146,0.0537000449873129,24205.4,290848496.8,17054.28089366421,17054.28089366421,10,8,28,5,4,35226,21120,74311,28732,20019,23,18,11,11,14,0
18,18,41,74,133,42,69,2.042198904436738,1.382201172666886,71.8,1398.7,37.39919785236042,69,2508,27576,6621,9985,17485,-0.1227376028805178,0.8319318871198378,12835.0,98075701.5,9903.317701659378,9903.317701659378,0,19,13,9,6,10824,26154,40877,25393,24569,6,10,16,11,18,38,108,285,149,168,1.157693585122782,0.5745690112004757,149.6,8214.3,90.63277552850293,149,25318,4136,20816,24670,91127,3.909582238302141,1.847113868277467,33213.4,1122125701.8,33498.14475161274,33498.14475161274,15,7,9,18,2,49549,11265,24969,29016,8881,9,5,13,5,22,0
19,19,52,42,49,69,41,1.919354729227308,1.365600180416371,50.6,127.3,11.28273016605467,49,1508,25655,20664,6387,35635,-1.733503468698626,-0.004393587051979965,17969.8,195883104.7,13995.82454519919,13995.82454519919,10,6,3,1,2,21782,15346,10523,4384,6838,3,5,5,1,4,44,49,149,98,38,0.07583809866573077,1.181712390287174,75.6,2252.3,47.45840283869654,49,5409,0,39689,1981,26958,-1.640302863169121,0.8417492484340393,14807.4,309709163.3,17598.55571630808,17598.55571630808,5,10,9,13,10,12954,17156,18526,36544,29646,8,11,13,24,22,0
20,20,116,123,173,45,48,-1.594366146046471,0.1624683304180381,101.0,2959.5,54.40128674948783,116,6069,6659,73951,1017,829,4.851020207779147,2.194389070170676,17705.0,996077962.0,31560.70281219986,31560.70281219986,7,7,9,12,13,26726,19536,12235,14505,20582,27,28,22,16,18,149,167,70,89,98,-2.286384018446511,0.4382040968961661,114.6,1712.3,41.37994683418528,98,105,5595,103,37495,9354,3.74628108394999,1.8989263038591142,10530.4,242562844.8,15574.429196603,15574.429196603,4,11,2,7,6,17141,15052,10458,15171,12582,12,8,21,10,13,1
21,21,116,149,167,167,83,-0.8185310580103957,-0.8766915821975073,136.4,1324.8,36.39780213144744,149,107,358,460,17937,3389,4.351851233249688,2.076726787522524,4450.2,58637775.7,7657.530652893268,7657.530652893268,10,1,13,3,7,23526,19026,25593,18197,16841,13,26,13,20,13,124,86,104,95,44,1.744701046689352,-0.9876493399283895,90.6,876.8,29.6108088373148,95,20867,1827,5034,1521,18156,-2.954711255349332,0.5621144736741716,9481.0,86654436.5,9308.836474017577,9308.836474017577,10,8,8,14,11,15054,16639,17911,26079,38647,25,28,25,16,30,0
22,22,50,165,105,30,154,-2.644846400402189,-0.1341751386571149,100.8,3640.7,60.33821343062786,105,14794,25266,10366,33262,22479,-0.8912733687446437,0.1484663219659739,21233.4,80516713.80000001,8973.11059778046,8973.11059778046,13,12,15,4,12,29286,22963,31240,20418,51140,12,17,10,16,21,149,298,148,168,89,2.859605669655434,1.37100841770997,170.4,5968.299999999999,77.25477331531042,149,24670,5546,106567,56200,281148,2.684527537779001,1.63384058842754,94826.2,12309622344.2,110948.7374610455,110948.7374610455,10,10,6,5,6,31137,32851,20187,31984,35283,9,8,8,14,18,1
23,23,98,50,149,164,52,-2.795544664221805,0.156523910032971,102.6,2817.8,53.08295394945537,98,8881,254,19243,2190,22742,-2.6248236922029973,0.26940493732115,10662.0,100708292.5,10035.35213632287,10035.35213632287,2,0,2,1,3,9935,1382,4782,8536,5646,0,1,0,5,3,84,178,73,72,70,4.714236758581563,2.162397728642881,95.4,2161.8,46.4951610385425,73,8692,13541,1701,209708,22322,4.857599273232992,2.19653628993402,51192.8,7908501508.700001,88929.75603643587,88929.75603643587,3,1,1,3,3,9261,2092,7975,6248,4443,3,1,3,1,1,0
24,24,84,36,149,42,36,1.520729467399804,1.477254148274028,69.4,2382.8,48.81393243736874,42,9552,39674,19243,100816,34535,2.966375108744865,1.61808925824522,40764.0,1270893407.5,35649.59196821192,35649.59196821192,6,0,1,7,5,9767,7307,7463,8097,13676,1,5,4,4,7,55,37,40,38,47,-0.029330336339463692,1.103419770939197,43.4,57.3,7.569676347110225,40,1379,483,1777,33850,137577,3.777410671211197,1.948402941729266,35013.2,3487231304.2,59052.7840512198,59052.7840512198,2,0,1,0,0,6962,2287,6938,3773,1872,1,1,1,0,0,1
25,25,113,30,148,32,43,-1.961818547502059,0.8039230638743411,73.2,2913.7,53.9786995026742,43,5084,2306,19243,44229,1646,1.791828679974895,1.520716762939607,14501.6,327222371.3000001,18089.28885556312,18089.28885556312,1,0,0,0,0,4406,1363,5903,4823,1675,0,0,0,0,0,44,39,24,172,122,-1.3604268419778092,0.8805084576862998,80.2,4085.2,63.91556930826792,44,5409,0,15394,23764,37828,-0.6769078205143622,0.5252958998250744,16479.0,226032648.0,15034.38219548778,15034.38219548778,5,1,3,2,2,7647,3281,6443,6546,8605,1,4,2,6,1,0
26,26,44,365,148,55,29,2.706596255713089,1.707416797382559,128.2,19688.7,140.3164281187346,55,6737,0,24670,8174,9190,2.7992237009696592,1.31433227846439,9754.2,82386089.2,9076.678313127552,9076.678313127552,21,0,8,5,0,35962,10175,15522,20087,3900,3,13,5,11,7,302,98,395,77,30,-2.088564849874837,0.6874484312377348,180.4,25235.3,158.8562243036136,98,7706,21166,483291,2287,0,4.969833793656505,2.22781952634617,102890.0,45287760635.5,212809.2118201184,212809.2118201184,9,2,5,5,0,16971,16072,21695,14994,1704,5,5,7,1,7,1
27,27,43,31,148,62,46,3.9218632218788123,1.940376397779457,66.0,2223.5,47.15400301140933,46,96,18440,19243,3903,29065,-1.796424871995324,-0.07896173476061599,14149.4,142328974.3,11930.17075736974,11930.17075736974,0,0,0,0,0,130,0,378,0,107,0,0,0,0,0,66,71,97,133,61,0.7802646653220561,1.283474025522104,85.6,894.8,29.91320778519081,71,24310,17307,9757,24119,10043,-2.995160419686325,-0.03542086172659258,17107.2,51253487.2,7159.154084107982,7159.154084107982,0,0,0,0,0,388,0,454,88,123,0,0,0,0,0,0
28,28,83,33,148,98,77,1.395409951940612,0.3119075535637552,87.8,1717.7,41.44514446832102,83,5817,8153,47672,16785,21183,2.412651959778136,1.505397696133786,19922.0,279738444.0,16725.38322430909,16725.38322430909,11,10,5,32,2,44547,17640,34946,52825,11066,16,13,25,5,33,63,62,44,30,61,-0.5382975778546717,-1.089520423258291,52.0,212.5,14.57737973711325,61,20399,1253,4938,2885,6486,3.719063690130449,1.8666875756967451,7192.2,58456442.7,7645.68131038693,7645.68131038693,10,13,10,3,3,65818,41955,49417,26559,27244,9,8,16,9,11,0
29,29,99,50,56,65,28,1.476598285443648,0.6907598972109327,59.6,671.3,25.90945773265045,56,244,2656,4442,25877,48735,0.2122358306520891,1.214761572315541,16390.8,432068241.7,20786.25126616149,20786.25126616149,3,0,0,3,0,7889,2246,3423,9566,3356,0,0,0,0,1,116,69,148,66,94,-0.816861622351138,0.6732309339817991,98.6,1175.8,34.28994021575424,94,15836,5601,39689,2605,57062,-1.526517039847856,0.7221955466201642,24158.6,550508729.3,23462.92243732651,23462.92243732651,15,4,4,4,1,23080,8165,7264,10269,7447,5,3,3,3,10,0
30,30,71,94,34,31,46,-1.028464210837521,0.8190913058334486,55.2,718.7,26.80858071588274,46,134771,20455,12573,35112,2364,4.024945297270298,1.96850582395584,41055.0,2887646427.5,53736.82561800613,53736.82561800613,1,2,1,0,1,4798,3630,4537,970,948,0,2,0,1,0,46,113,148,61,47,-1.441729187230047,0.8577551575472872,83.0,2068.5,45.48076516506731,61,156660,69640,19243,3862,40642,1.910157108762952,1.396548681775133,58009.4,3650903253.8,60422.70478719072,60422.70478719072,2,8,5,0,0,3502,7453,7375,0,3262,1,2,4,0,5,0
31,31,60,33,148,42,43,4.135005764751975,2.010291491815889,65.2,2237.7,47.304333839512,43,21784,5737,39689,4819,26371,-1.344558868838774,0.3049956299732398,19680.0,216203237.0,14703.85109418618,14703.85109418618,4,4,4,21,4,16222,11616,16144,39203,18059,4,10,13,8,19,61,45,65,36,58,-1.414367086395881,-0.7190411539824814,53.0,146.5,12.1037184369102,58,5424,11819,16414,13541,8846,-0.6028073305022222,-0.2885332496947947,11208.8,17988085.7,4241.236340974174,4241.236340974174,8,7,3,0,3,25274,11951,13080,5895,8936,3,1,4,4,3,1
32,32,151,123,166,148,118,-2.036918618306874,-0.1019649329942842,141.2,406.7,20.16680440724311,148,9622,1370,2657,39689,9196,3.9085252100886283,1.9240824013980231,12506.8,244800584.7,15646.10445765974,15646.10445765974,0,8,1,4,3,9779,8470,3763,6759,12412,5,0,5,2,5,36,30,208,70,185,-2.948660789644435,0.5114584261829683,105.8,7154.2,84.58250410102552,70,504,504,2326,3479,5271,-1.148139187729691,0.5151118330979069,2416.8,4150144.7,2037.190393654947,2037.190393654947,8,2,7,9,5,8528,2458,19874,15635,11122,13,25,19,12,15,0
33,33,62,142,48,78,159,-2.686331991718353,0.47178089328047557,97.8,2463.2,49.63063570013988,78,9966,339,39424,206110,181324,-3.016519772203243,0.5510558808818211,87432.6,9697778803.8,98477.30095712413,98477.30095712413,10,3,2,5,2,36359,25799,13564,20559,18531,4,6,4,3,6,37,146,107,148,166,1.640509397746639,-1.406920956510355,120.8,2657.7,51.55288546725586,146,12646,13342,4517,39689,3131,3.159955970979166,1.704810916850287,14665.0,217010581.5,14731.27901779068,14731.27901779068,4,20,9,7,0,31125,50232,41696,21960,5532,15,4,10,8,14,0
34,34,76,75,292,166,312,-2.9455857645161263,0.21560472658484559,184.2,12979.2,113.9262919610746,166,4671,4580,5186,40486,16655,2.680019748625583,1.7167979326931,14315.6,240378110.3,15504.13203955642,15504.13203955642,3,8,14,9,7,15253,14169,22720,29892,16067,21,10,20,18,20,103,322,147,166,113,3.417335334153613,1.795247774840402,170.2,7846.7,88.58160079835993,147,1790,16495,69732,106,3211,3.973535216828671,1.9881478245294932,18266.8,869945698.6999998,29494.84189989836,29494.84189989836,10,6,6,10,3,25440,20885,17761,15811,11664,17,15,19,9,22,1
35,35,38,264,147,47,107,0.8001530881164136,1.079647173654428,120.6,8421.3,91.7676413557633,107,90453,35163,39689,2243,14367,1.64250899971773,1.155325203240561,36383.0,1146556698.0,33860.84313776017,33860.84313776017,6,3,6,3,0,13977,8873,12536,6700,4757,4,5,1,0,3,84,66,63,45,265,4.544424503076138,2.107244815904441,104.6,8231.300000000001,90.72651211195105,66,66035,961,8875,6581,43182,-1.2535560073478331,0.9162697813679438,25126.8,797881166.1999998,28246.79036988096,28246.79036988096,8,0,5,6,1,18710,2321,9654,12376,3286,0,2,1,1,3,1
36,36,57,82,59,137,220,0.7444812786522643,1.258432253826562,111.0,4754.5,68.95288246331694,82,3633,204731,6173,8620,27171,4.76369343131457,2.174808829590455,50065.6,7561458275.799999,86956.64595532649,86956.64595532649,6,7,5,13,5,15805,11788,9524,18874,15102,8,9,4,3,13,35,68,147,35,62,2.954713763578253,1.655576613447475,69.4,2111.3,45.94888464369946,62,20995,36306,39689,90007,29627,3.747326336450945,1.8437382848872361,43324.8,731990021.2,27055.3141027784,27055.3141027784,3,3,2,6,1,7818,8337,10475,14133,5512,2,4,7,5,9,1
37,37,46,91,50,75,58,-1.011357543063765,0.7727571705310445,64.0,351.5,18.74833325925268,58,24813,63985,2443,17974,14676,2.999880278013062,1.5600044046273371,24778.2,546096779.7,23368.71369374018,23368.71369374018,1,7,2,2,1,4231,13443,5810,7480,3989,2,3,3,1,2,147,45,72,202,72,-0.9843348506201516,0.8587174915072581,107.6,4229.3,65.03306851133506,72,24670,44117,32746,13696,2317,-0.8611714931996871,-0.08938935101003581,23509.2,264188896.7,16253.88866394747,16253.88866394747,1,1,13,6,3,6596,7054,22503,12936,11211,1,8,3,3,9,0
38,38,34,84,147,43,83,0.7121237653991113,0.9160196285301456,78.2,1995.7,44.67325822010299,83,24056,0,39689,5508,59098,-1.349591319348499,0.4298478345621428,25670.2,595505921.2,24402.99000532517,24402.99000532517,0,0,1,2,0,3590,1683,2302,3621,7190,0,0,0,1,3,90,44,64,28,85,-2.00338430255696,-0.2859233848272935,62.2,699.2,26.44239020966146,64,29830,25130,30103,596,5123,-2.910770685689696,-0.581973753219119,18156.4,201465612.3,14193.85825982492,14193.85825982492,0,2,8,4,2,3397,2541,10416,4940,5955,2,1,1,2,5,0
39,39,61,95,25,58,162,1.309794264500916,1.079325251958962,80.2,2704.7,52.00673033367892,61,37293,6889,2481,120724,2685,3.255462384862525,1.833016294725379,34014.4,2560244473.8,50598.85842388147,50598.85842388147,12,21,5,4,6,38422,56886,17653,29880,14529,13,14,12,19,23,69,37,55,147,165,-2.754446517318982,0.48733570037197826,94.6,3310.8,57.53955161451991,69,108350,16460,14530,39689,91127,-2.648272064766828,0.48043704669013904,54031.2,1876067245.7,43313.59192793874,43313.59192793874,19,8,14,2,3,66758,28438,77596,18130,13213,13,17,17,13,24,1
40,40,39,59,73,64,62,2.502484511962637,-1.237501848428701,59.4,157.3,12.54192967609052,62,36576,8338,132018,0,0,3.49201069812624,1.8766375363564922,35386.4,3143772954.8,56069.35843042972,56069.35843042972,5,0,14,2,3,15847,747,31933,10857,9322,2,0,1,4,5,138,65,147,84,49,-2.724728470869342,0.2853140734125735,96.6,1919.3,43.80981625161192,84,15916,5933,39689,71271,7165,0.3967549151469711,1.193975883890416,27994.8,769021199.1999999,27731.23147644186,27731.23147644186,8,9,1,5,4,18590,19365,12286,18442,21448,5,8,12,6,8,0
41,41,277,78,154,352,147,-1.361554874955747,0.5164927955653047,201.6,12207.3,110.4866507773677,154,1045,23733,10679,59743,167,2.086129829550286,1.508360854635371,19073.4,607167338.8,24640.76579167133,24640.76579167133,8,6,6,5,0,26399,14427,18757,21823,6286,8,10,7,3,6,161,389,48,91,47,2.865661693157755,1.710168210383217,147.2,20424.2,142.9132604064438,91,36947,26502,1433,18117,38078,-0.033482222898229004,-0.8795754015752807,24215.4,228930522.3,15130.4501684517,15130.4501684517,13,14,4,12,5,35437,31672,6984,29759,18621,16,19,10,16,10,0
42,42,45,69,46,59,224,4.660227869119463,2.1437201577457072,88.6,5827.299999999999,76.33675392627066,59,97576,29483,23081,136115,19230,-1.63594268968215,0.8792217631332627,61097.0,2788981176.5,52810.80548997525,52810.80548997525,1,8,2,1,2,7583,5630,5736,7246,5535,1,3,2,7,8,42,31,147,53,34,4.376786511138041,2.070930978032016,61.4,2362.3,48.60349781651522,42,2363,1032,39689,169089,38643,3.592567753063571,1.835184328200853,50163.2,4771125928.200001,69073.3373176655,69073.3373176655,0,0,1,1,2,3869,3125,7381,5793,4616,0,1,0,3,1,1
